Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Has_Cabin,FamilySize,IsAlone,Embarked_Q,Embarked_S,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,1,-0.6505041587828407,1,0,-0.7038650453657448,0,0.8791481280665769,0,False,True,False,True,False,False
1,3,0,-0.31833684183601996,0,0,-0.6524176445031797,0,-0.584020387675433,1,False,True,False,True,False,False
1,1,0,0.42903962129432677,1,0,2.790747294706262,1,0.8791481280665769,0,False,True,False,True,False,False
0,3,1,0.42903962129432677,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6117703869031711,0,-0.584020387675433,1,True,False,False,True,False,False
0,1,1,2.0068343767917254,0,0,2.6964270597915596,1,-0.584020387675433,1,False,True,False,False,True,False
1,3,0,-0.2352950125993148,0,2,-0.40788624274411717,0,2.3423166438085867,0,False,True,False,True,False,False
1,2,0,-1.3148387926764822,1,0,1.0354991703445116,0,0.8791481280665769,0,False,False,True,False,False,False
1,3,0,-2.145257085043534,1,1,0.016398566710165013,1,2.3423166438085867,0,False,True,False,False,False,False
1,1,0,2.3390016937385463,0,0,0.7671495274453727,1,-0.584020387675433,1,False,True,False,False,True,False
0,3,1,-0.8165878172562511,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,-1.3148387926764822,0,0,-0.6578139052158756,0,-0.584020387675433,1,False,True,True,False,False,False
1,2,0,2.0898762060284306,0,0,-0.03695429344360603,0,-0.584020387675433,1,False,True,False,False,True,False
1,2,1,-0.1522531833626096,0,0,-0.2656094083883393,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,0.09687230434750599,1,0,0.11548244985288282,0,0.8791481280665769,0,False,True,False,True,False,False
1,3,0,-0.1522531833626096,0,0,-0.7057705046569509,0,-0.584020387675433,1,False,False,False,True,False,False
0,2,1,0.42903962129432677,0,0,0.7252294230388382,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,1,0.34599779205762154,0,0,-0.2656094083883393,1,-0.584020387675433,1,False,True,False,True,False,False
1,3,0,-1.231796963439777,0,0,-0.6444756901774328,0,-0.584020387675433,1,True,False,True,False,False,False
1,1,1,-0.1522531833626096,0,0,1.4493039536971604,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.7057705046569509,0,-0.584020387675433,1,False,False,False,True,False,False
1,3,0,-0.1522531833626096,0,0,-0.6559084459246693,0,-0.584020387675433,1,True,False,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,True,False,False
0,1,1,0.8442487674778527,0,0,0.8563859969711373,0,-0.584020387675433,1,False,False,False,False,True,False
1,3,0,-0.1522531833626096,0,0,-0.6657558595416225,0,-0.584020387675433,1,True,False,False,True,False,False
0,2,1,3.0033363276321876,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,False,False,True
0,1,1,1.0103324259512632,1,0,2.706907085893193,0,0.8791481280665769,0,False,True,False,False,True,False
1,3,1,-0.1522531833626096,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,True,False,False
0,3,1,-0.733545988019546,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,-0.9826714757296615,2,0,0.11548244985288282,0,2.3423166438085867,0,False,True,True,False,False,False
1,3,0,-1.3148387926764822,1,0,-0.3996241712574475,0,0.8791481280665769,0,False,False,True,False,False,False
0,3,0,0.8442487674778527,1,0,-0.534279168448401,0,0.8791481280665769,0,False,True,False,False,True,False
0,2,0,-0.2352950125993148,1,0,0.3441375647976161,0,0.8791481280665769,0,False,True,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,False,False,True,False,False
1,3,0,-0.8996296464929563,0,0,-0.6559084459246693,0,-0.584020387675433,1,True,False,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.1522531833626096,1,0,-0.07506347926772824,0,0.8791481280665769,0,True,False,False,True,False,False
1,3,0,-0.1522531833626096,0,0,-0.6657558595416225,0,-0.584020387675433,1,True,False,False,True,False,False
0,3,1,-0.1522531833626096,2,0,0.3959050828211038,0,2.3423166438085867,0,False,False,False,True,False,False
0,3,0,-0.9826714757296615,1,0,0.10023877552323399,0,0.8791481280665769,0,False,True,True,False,False,False
0,3,1,-0.733545988019546,0,0,-0.6619449409592103,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,0,-0.0692113541259044,1,0,0.7252294230388382,0,0.8791481280665769,0,False,True,False,True,False,False
0,1,1,2.9202944983954824,0,1,3.467505460245354,1,0.8791481280665769,0,False,False,False,False,False,True
1,1,1,-0.1522531833626096,0,0,1.4493039536971604,1,-0.584020387675433,1,False,True,False,True,False,False
1,2,0,-0.733545988019546,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.110732268744257,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,True,False,False
0,3,1,-0.6505041587828407,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,True,False,False
0,1,1,-0.1522531833626096,0,0,0.8563859969711373,0,-0.584020387675433,1,False,False,False,True,False,False
1,3,1,-0.1522531833626096,1,1,-0.09443818934071205,0,2.3423166438085867,0,False,False,False,True,False,False
1,2,0,-0.0692113541259044,0,0,-0.4561553375089504,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.8996296464929563,0,0,-0.6346358983976443,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.31833684183601996,2,0,-0.5962065954125996,0,2.3423166438085867,0,False,True,False,True,False,False
0,2,1,0.17991413358421118,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.31833684183601996,1,0,-0.15477265233746226,0,0.8791481280665769,0,False,False,False,True,False,False
1,3,1,0.17991413358421118,0,0,3.049569641149371,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.4013786710727252,0,0,-0.673377696706447,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.1522531833626096,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,1,-2.40849968372389,0,2,0.9538845379835715,0,2.3423166438085867,0,False,True,False,False,False,False
1,3,0,0.013830475110800794,0,0,-0.30562405350366767,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.6505041587828407,0,0,-0.570482894981317,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,1,-0.0692113541259044,0,0,-0.5323737091571948,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,0,-0.1522531833626096,0,0,-0.6628976706048134,0,-0.584020387675433,1,True,False,False,True,False,False
0,1,1,-0.1522531833626096,0,0,2.333437064816796,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,0,-1.0657133049663667,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,True,False,False,False
0,3,1,-0.1522531833626096,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.48442050030943035,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.0692113541259044,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.8165878172562511,0,0,-0.6578139052158756,0,-0.584020387675433,1,False,True,False,True,False,False
0,1,1,1.3424997428980838,1,0,3.4062106457658357,1,0.8791481280665769,0,False,True,False,False,True,False
0,3,1,2.4220435229752515,0,0,-0.7038650453657448,0,-0.584020387675433,1,False,True,False,False,True,False
0,3,1,-0.1522531833626096,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,1,1,3.4185454738157137,0,0,1.3848384549570754,1,-0.584020387675433,1,False,False,False,False,False,True
1,1,1,-0.5674623295461355,0,1,3.572618216585448,1,0.8791481280665769,0,False,False,False,True,False,False
1,2,0,0.34599779205762154,0,1,0.49657430809410497,0,0.8791481280665769,0,False,True,False,True,False,False
